Date,TCS,Infosys,HCL,Wirpo
2017,1249,456,447,217
2017,1250,455,449,217
2017,1253,454,444,214
2017,1243,446,440,213
2017,1245,442,436,222
2017,1244,442,432,224
2017,1227,439,430,226
2017,1235,442,430,225
2017,1230,448,430,224
2017,1227,448,426,223
2017,1242,451,430,223
2017,1228,450,430,223
2017,1228,460,433,222
2017,1248,457,433,224
2017,1242,463,425,218
2017,1235,464,426,218
2017,1244,471,434,218
2017,1248,456,434,217
2017,1245,446,440,218
2017,1249,438,438,218
2017,1264,437,437,216
2017,1257,462,438,216
2017,1243,510,436,216
2017,1246,488,432,217
2017,1235,491,430,216
2017,1248,494,436,217
2017,1256,491,441,216
2017,1256,485,439,215
2017,1252,482,441,216
2017,1252,484,443,216
2017,1261,492,445,217
2017,1245,492,438,217
2017,1237,497,441,220
2017,1251,503,442,221
2017,1246,506,446,216
2017,1242,499,447,217
2017,1241,486,445,217
2017,1278,497,446,217
2017,1286,497,448,217
2017,1265,495,454,219
2017,1246,490,452,215
2017,1222,485,443,202
2017,1225,490,448,203
2017,1204,493,440,202
2017,1198,492,434,200
2017,1199,486,425,195
2017,1223,489,429,198
2017,1220,486,427,198
2017,1238,488,425,197
2017,1217,479,425,201
2017,1166,468,416,193
2017,1174,474,420,193
2017,1178,475,419,193
2017,1183,481,421,195
2017,1187,476,419,195
2017,1181,468,425,194
2017,1167,465,424,194
2017,1175,462,424,194
2017,1171,464,420,192
2017,1181,472,426,193
2017,1197,470,425,191
2017,1203,472,422,192
2017,1223,472,427,191
2017,1216,465,421,191
2017,1200,470,420,191
2017,1206,476,422,196
2017,1235,479,427,192
2017,1226,479,424,194
2017,1244,482,433,197
2017,1254,474,430,201
2017,1261,478,434,205
2017,1308,481,440,206
2017,1348,490,445,210
2017,1302,479,429,208
2017,1282,485,429,207
2017,1277,486,431,203
2017,1273,489,432,201
2017,1276,498,434,201
2017,1286,493,432,200
2017,1289,498,430,202
2017,1312,492,430,201
2017,1280,477,427,197
2017,1261,479,432,197
2017,1266,481,429,195
2017,1254,479,422,195
2017,1268,481,424,197
2017,1228,476,427,191
2017,1215,478,425,193
2017,1183,476,424,190
2017,1180,482,424,190
2017,1175,472,419,189
2017,1166,472,422,187
2017,1176,473,425,191
2017,1171,473,420,188
2017,1160,466,415,187
2017,1165,469,409,187
2017,1169,467,418,186
2017,1145,461,411,186
2017,1137,459,407,185
2017,1151,463,405,186
2017,1155,457,400,184
2017,1156,465,410,185
2017,1164,463,410,184
2017,1155,462,406,184
2017,1163,464,407,187
2017,1150,460,404,187
2017,1154,461,404,185
2017,1157,462,405,185
2017,1164,466,405,186
